X,filing_date,trade_date,ticker,company,insider,title,trade_type,price,qty,Owned,ΔOwn,value,1d,1w,1m,6m,entry_date,entry_price,ret_1w,ret_1m,ret_3m,ret_6m
,2025-05-09 19:44:52,2025-05-09,FG,"F&G Annuities & Life, Inc.",Blunt Christopher O,CEO,P - Purchase,30.8,10000.0,859860,+1%,307953.0,,,,,2025-05-12,30.201820355612178,0.029561364654399513,0.03623649304297416,0.13635861921070203,0.05120669852534099
D,2025-05-09 17:32:37,2025-05-08,HCWB,Hcw Biologics Inc.,Wong Hing C,"CEO, 10%",P - Purchase,26.0,92500.0,493857,+23%,2405000.0,,,,,2025-05-12,6.320000171661377,0.356012573109056,-0.1740506885430294,-0.29113925674217167,-0.5158228070150289
M,2025-05-09 17:03:30,2025-05-08,IFF,International Flavors & Fragrances Inc,Fyrwald J Erik,CEO,P - Purchase,73.97,25000.0,73360,+52%,1849254.0,,,,,2025-05-12,73.75982586500528,0.01830149854749963,0.0313363540146645,-0.14566715477526115,-0.16345389509779928
,2025-05-09 16:20:14,2025-05-08,THS,"Treehouse Foods, Inc.",Oakland Steven,"CEO, Pres",P - Purchase,21.46,4660.0,369521,+1%,100004.0,,,,,2025-05-12,,,,,
,2025-05-09 12:45:28,2025-05-09,MAGN,Magnera Corp,Begle Curt,"Pres, CEO",P - Purchase,14.01,20275.0,50000,+68%,284152.0,,,,,2025-05-12,15.220000267028809,-0.18725363544465257,-0.0722733483686373,-0.11432330448520789,-0.4086728093233506
M,2025-05-09 08:50:30,2025-05-07,SNBR,Sleep Number Corp,Findley Linda,"Pres, CEO",P - Purchase,7.19,104520.0,647606,+19%,751278.0,,,,,2025-05-12,8.4399995803833,0.07701428963519819,0.021327051436607514,0.07938389924226952,-0.48341228077212817
,2025-05-08 16:55:00,2025-05-08,ICHR,"Ichor Holdings, Ltd.",Andreson Jeff,CEO,P - Purchase,16.86,10000.0,285594,+4%,168600.0,,,,,2025-05-09,17.700000762939453,0.03389821741575183,0.0870055899321307,-0.09265543651449615,-0.15423730950491055
D,2025-05-08 16:13:18,2025-05-06,NEO,Neogenomics Inc,Zook Anthony P.,CEO,P - Purchase,7.88,18900.0,30236,+167%,148919.0,,,,,2025-05-09,8.069999694824219,0.004956624952375366,-0.028500563932343237,-0.2788103603778205,0.24907066975119863
,2025-05-08 14:47:07,2025-05-06,UTGN,Utg Inc,Correll Jesse T,"COB, CEO, 10%",P - Purchase,40.0,86957.0,2048054,+4%,3478280.0,,,,,2025-05-09,35.0,0.056857190813337066,0.05742852347237726,0.2571428571428571,0.5714285714285714
,2025-05-08 07:28:03,2025-05-07,HUN,Huntsman Corp,Huntsman Peter R,"COB, Pres , CEO",P - Purchase,11.19,45000.0,7533555,+1%,503405.0,,,,,2025-05-09,11.333196121461686,0.04628110233743166,1.2990397979528723e-07,-0.2350185845917354,-0.29310831977274865
